verse,grammar,surah
وَكَمْ أَهْلَكْنا قَبْلَهُمْ مِنْ قَرْنٍ هُمْ أَحْسَنُ أَثاثًا وَرِءْيًا,"﴿وَكَمْ﴾ (الواو): استئنافية. (كم): خبرية مفعول به مقدّم مبني في محل نصب.
﴿أَهْلَكْنا﴾: ماض و(نا) فاعله، والجملة استئنافية. ﴿قَبْلَهُمْ﴾: ظرف منصوب متعلق ب (أهلكنا) و(الهاء) مضاف إليه. ﴿مِنْ﴾: حرف جر. ﴿قَرْنٍ﴾: تمييز (كم) مجرور بمن. ﴿هُمْ﴾: مبتدأ.
﴿أَحْسَنُ﴾: خبر مرفوع، والجملة في محل جر نعت ل (قرن). ﴿أَثاثًا﴾: تمييز منصوب. ﴿وَرِءْيًا﴾ (الواو): عاطفة. (رئيا): معطوف على التمييز السابق منصوب.",مريم
قُلْ مَنْ كانَ فِي الضَّلالَةِ فَلْيَمْدُدْ لَهُ الرَّحْمنُ مَدًّا حَتّى إِذا رَأَوْا ما يُوعَدُونَ إِمَّا الْعَذابَ وَإِمَّا السّاعَةَ فَسَيَعْلَمُونَ مَنْ هُوَ شَرٌّ مَكانًا وَأَضْعَفُ جُنْدًا,"﴿قُلْ﴾: أمر وفاعله مستتر (أنت)، والجملة استئنافية. ﴿مَنْ﴾: شرطية جازمة مبتدأ. ﴿كانَ﴾: ماض ناقص في محل جزم فعل الشرط واسمه مستتر (هو). ﴿فِي الضَّلالَةِ﴾: جار ومجرور متعلق بخبر كان، وجملة (كان ...) في محل رفع خبر (من)، وجملة (من ...) في محل نصب مقول القول. ﴿فَلْيَمْدُدْ﴾: (الفاء): رابطة لجواب الشرط و(اللام) للأمر و(يمدد) مضارع مجزوم. ﴿لَهُ﴾: جار ومجرور متعلق ب (يمدد). ﴿الرَّحْمنُ﴾: فاعل مرفوع. ﴿مَدًّا﴾: مفعول مطلق منصوب، والجملة في محل جزم جواب الشرط. ﴿حَتّى﴾: للابتداء. ﴿إِذا﴾: ظرف للمستقبل متضمن معنى الشرط متعلق بالجواب. ﴿رَأَوْا﴾: ماض و(الواو) فاعله والجملة في محل جر مضاف إليه. ﴿ما﴾: موصولة في محل نصب مفعول به. ﴿يُوعَدُونَ﴾: مضارع مرفوع بثبوت النون مبني للمفعول و(الواو) نائب فاعل، والجملة صلة الموصول (ما). ﴿إِمَّا﴾: حرف تفصيل وتقسيم.
﴿الْعَذابَ﴾: بدل من (ما).منصوب. ﴿وَإِمَّا السّاعَةَ﴾ (الواو): عاطفة. (إما الساعة) مثل (إما
العذاب) ومعطوفة عليها. ﴿فَسَيَعْلَمُونَ﴾: (الفاء) رابطة لجواب الشرط و(السين) للاستقبال و(يعلمون): مضارع مرفوع بثبوت النون و(الواو) فاعله، والجملة جواب الشرط لا محل لها.
﴿مَنْ﴾: موصولة في محل نصب مفعول به. ﴿هُوَ﴾: مبتدأ. ﴿شَرٌّ﴾: خبر مرفوع والجملة صلة الموصول (من). ﴿مَكانًا﴾: تمييز منصوب. ﴿وَأَضْعَفُ﴾: معطوف بالواو على (شرّ) مرفوع.
﴿جُنْدًا﴾: تمييز منصوب.",مريم
وَيَزِيدُ اللهُ الَّذِينَ اِهْتَدَوْا هُدىً وَالْباقِياتُ الصّالِحاتُ خَيْرٌ عِنْدَ رَبِّكَ ثَوابًا وَخَيْرٌ مَرَدًّا,"﴿وَيَزِيدُ﴾ (الواو): استئنافية. ﴿يَزِيدُ﴾: مضارع مرفوع. ﴿اللهُ﴾: لفظ الجلالة فاعل مرفوع، والجملة استئنافية. ﴿الَّذِينَ﴾: مفعول به. ﴿اِهْتَدَوْا﴾: ماض و(الواو) فاعله، والجملة صلة الموصول. ﴿هُدىً﴾: مفعول به ثان منصوب. ﴿وَالْباقِياتُ﴾ (الواو): عاطفة.
(الباقيات): مبتدأ مرفوع. ﴿الصّالِحاتُ﴾: نعت مرفوع. ﴿خَيْرٌ﴾: خبر مرفوع، والجملة معطوفة على الاستئنافية. ﴿عِنْدَ﴾: ظرف منصوب متعلق ب (خير). ﴿رَبِّكَ﴾: مضاف إليه مجرور و(الكاف) مضاف إليه. ﴿ثَوابًا﴾: تمييز منصوب. ﴿وَخَيْرٌ مَرَدًّا﴾ (الواو): عاطفة. (خير مردا) مثل (خير ... ثوابا) ومعطوفة عليها.",مريم
أَفَرَأَيْتَ الَّذِي كَفَرَ بِآياتِنا وَقالَ لَأُوتَيَنَّ مالًا وَوَلَدًا," ﴿أَفَرَأَيْتَ﴾: (الهمزة) للاستفهام التعجبي، و(الفاء) استئنافية، و(رأيت) ماض و(التاء) فاعله، والجملة استئنافية. ﴿الَّذِي﴾: مفعول به. ﴿كَفَرَ﴾: ماض وفاعله مستتر (هو)، والجملة صلة الموصول. ﴿بِآياتِنا﴾: جار ومجرور متعلق ب (كفر). ﴿وَقالَ﴾ (الواو): عاطفة.
(قال): ماض وفاعله مستتر (هو)، والجملة معطوفة على جملة الصلة. ﴿لَأُوتَيَنَّ﴾: (اللام) لقسم مقدر و(أوتين) مضارع مبني على الفتح في محل رفع مبني للمجهول ونائب الفاعل مستتر (أنا) و(النون) للتوكيد. ﴿مالًا﴾: مفعول به منصوب. ﴿وَوَلَدًا﴾: معطوف بالواو على (مالا) منصوب، وجملة (لأوتينّ ..) لا محل لها جواب القسم المقدّر وهو وجوابه في محل نصب مقول القول.",مريم
أَطَّلَعَ الْغَيْبَ أَمِ اِتَّخَذَ عِنْدَ الرَّحْمنِ عَهْدًا," ﴿أَطَّلَعَ﴾: (الهمزة) للاستفهام و(اطلع) فعل ماض وفاعله مستتر (هو).
﴿الْغَيْبَ﴾: مفعول به منصوب، والجملة في محل نصب مفعول به ثان للفعل (رأيت) في الآية السابقة. ﴿أَمِ﴾: عاطفة معادلة لهمزة الاستفهام. ﴿اِتَّخَذَ﴾: ماض وفاعله مستتر (هو)، والجملة في محل نصب معطوفة على جملة (أطلع). ﴿عِنْدَ﴾: ظرف منصوب متعلق ب (اتخذ) أو بمفعول به ثان له. ﴿الرَّحْمنِ﴾: مضاف إليه مجرور. ﴿عَهْدًا﴾: مفعول به أول منصوب.",مريم
كَلاّ سَنَكْتُبُ ما يَقُولُ وَنَمُدُّ لَهُ مِنَ الْعَذابِ مَدًّا,"﴿كَلاّ﴾: حرف ردع وزجر. ﴿سَنَكْتُبُ﴾: (السين) للاستقبال و(نكتب) مضارع مرفوع والفاعل مستتر (نحن)، والجملة استئنافية. ﴿ما﴾: موصولة في محل نصب مفعول به. ﴿يَقُولُ﴾: مضارع مرفوع وفاعله مستتر (هو)، والجملة صلة الموصول. ﴿وَنَمُدُّ﴾ (الواو):
عاطفة. (نمدّ): مثل (نكتب) ومعطوفة عليها. ﴿لَهُ﴾: جار ومجرور متعلق ب (نمدّ). ﴿مِنَ الْعَذابِ﴾: جار ومجرور متعلق ب (نمدّ). ﴿مَدًّا﴾: مفعول مطلق منصوب.",مريم
وَنَرِثُهُ ما يَقُولُ وَيَأْتِينا فَرْدًا,"﴿وَنَرِثُهُ﴾ (الواو): عاطفة. (نرثه): مضارع مرفوع والفاعل مستتر (نحن) و(الهاء) مفعول به، والجملة معطوفة على جملة (نكتب) في الآية السابقة. ﴿ما﴾: موصولة في محل نصب بدل اشتمال من (الهاء) في (نرثه) [أو مفعول به ثان ل (نرثه) إذا ضمّن معنى (نسلبه)].
﴿يَقُولُ﴾: مضارع مرفوع والفاعل مستتر (هو)، والجملة صلة الموصول (ما). ﴿وَيَأْتِينا﴾ (الواو):
عاطفة. (يأتينا): مضارع مرفوع بالضمة المقدرة والفاعل مستتر (هو) و(نا) مفعول به، والجملة معطوفة على جملة (نرثه). ﴿فَرْدًا﴾: حال منصوبة.",مريم
وَاِتَّخَذُوا مِنْ دُونِ اللهِ آلِهَةً لِيَكُونُوا لَهُمْ عِزًّا,﴿وَاتَّخَذُوا﴾ (الواو): استئنافية. (اتخذوا): ماض و(الواو) فاعله، والجملة استئنافية. ﴿مِنْ دُونِ﴾: جار ومجرور متعلق بمحذوف مفعول به ثان. ﴿اللهِ﴾: لفظ الجلالة مجرور بالإضافة. ﴿آلِهَةً﴾: مفعول به أوّل منصوب. ﴿لِيَكُونُوا﴾: (اللام) للتعليل و(يكونوا) مضارع ناقص منصوب بحذف النون و(الواو) اسمه، والمصدر المؤول من (أن المضمرة بعد لام التعليل والفعل) في محل جر باللام متعلق ب (اتخذوا). ﴿لَهُمْ﴾: جار ومجرور متعلق بحال من (عزا) ﴿عِزًّا﴾: خبر (يكونوا) منصوب. والجملة تعليلية,مريم
كَلاّ سَيَكْفُرُونَ بِعِبادَتِهِمْ وَيَكُونُونَ عَلَيْهِمْ ضِدًّا,"﴿كَلاّ﴾: حرف ردع وزجر. ﴿سَيَكْفُرُونَ﴾: (السين) للاستقبال و(يكفرون) مضارع مرفوع بثبوت النون و(الواو) فاعل (والضمير هنا عائد على الآلهة المدّعاة). ﴿بِعِبادَتِهِمْ﴾:
جار ومجرور متعلق ب (يكفرون) و(الهاء) مضاف إليه، وجملة (سيكفرون) تعليلية [أو استئنافية].
﴿وَيَكُونُونَ﴾ (الواو): عاطفة. (يكونون): مضارع ناقص مرفوع بثبوت النون و(الواو) اسمه.
﴿عَلَيْهِمْ﴾: جار ومجرور متعلق بحال من (ضدا). ﴿ضِدًّا﴾: خبر (يكونون) منصوب، والجملة معطوفة على سابقتها لا محل لها.",مريم
أَلَمْ تَرَ أَنّا أَرْسَلْنَا الشَّياطِينَ عَلَى الْكافِرِينَ تَؤُزُّهُمْ أَزًّا,﴿أَلَمْ﴾: (الهمزة) للاستفهام و(لم) نافية جازمة. ﴿تَرَ﴾: مضارع مجزوم بحذف حرف العلّة والفاعل مستتر (أنت)، والجملة استئنافية. ﴿أَنّا﴾: حرف توكيد ونصب و(نا) اسمه. ﴿أَرْسَلْنَا﴾: ماض و(نا) فاعله، والجملة خبر (أن) في محل رفع والمصدر المؤول من (أنّ ومتعلقاتها) في محل نصب سدّ مسدّ مفعولي (تر). ﴿الشَّياطِينَ﴾: مفعول به منصوب. ﴿عَلَى الْكافِرِينَ﴾: جار ومجرور بالياء متعلق ب (أرسلنا). ﴿تَؤُزُّهُمْ﴾: مضارع مرفوع والفاعل مستتر (هي) (أي الشياطين) و(الهاء) مفعول به، والجملة في محل نصب حال. ﴿أَزًّا﴾: مفعول مطلق منصوب.,مريم
فَلا تَعْجَلْ عَلَيْهِمْ إِنَّما نَعُدُّ لَهُمْ عَدًّا,﴿فَلا﴾: (الفاء) رابطة لجواب شرط مقدّر و(لا) ناهية. ﴿تَعْجَلْ﴾: مضارع مجزوم والفاعل مستتر (أنت)، والجملة في محل جزم جواب الشرط المقدّر. ﴿عَلَيْهِمْ﴾: جار ومجرور متعلق ب (تعجل). ﴿إِنَّما﴾: كافة ومكفوفة. ﴿نَعُدُّ﴾: مضارع مرفوع والفاعل مستتر (نحن) للتعظيم. ﴿لَهُمْ﴾: جار ومجرور متعلق بحال من (عدّا) ﴿عَدًّا﴾: مفعول مطلق منصوب، وجملة (إنما نعد ...) تعليلية.,مريم
يَوْمَ نَحْشُرُ الْمُتَّقِينَ إِلَى الرَّحْمنِ وَفْدًا,"﴿يَوْمَ﴾: ظرف منصوب متعلق ب (نعدّ) في الآية السابقة [أو بفعل محذوف تقديره: اذكر]. ﴿نَحْشُرُ﴾: مضارع مرفوع والفاعل مستتر (نحن) للتعظيم، والجملة في محل جر مضاف إليه. ﴿الْمُتَّقِينَ﴾: مفعول به منصوب بالياء. ﴿إِلَى الرَّحْمنِ﴾: جار ومجرور متعلق
ب (وفدا). ﴿وَفْدًا﴾: حال منصوبة من المتقين",مريم
وَنَسُوقُ الْمُجْرِمِينَ إِلى جَهَنَّمَ وِرْدًا,"﴿وَنَسُوقُ﴾ (الواو): عاطفة. (نسوق): مضارع مرفوع والفاعل مستتر (نحن)، والجملة معطوفة على (نحشر) في الآية السابقة. ﴿الْمُجْرِمِينَ﴾: مفعول به منصوب بالياء.
﴿إِلى جَهَنَّمَ﴾: جار ومجرور بالفتحة متعلق ب (نسوق). ﴿وِرْدًا﴾: حال منصوبة من المجرمين.",مريم
لا يَمْلِكُونَ الشَّفاعَةَ إِلاّ مَنِ اِتَّخَذَ عِنْدَ الرَّحْمنِ عَهْدًا,"﴿لا﴾: نافية. ﴿يَمْلِكُونَ﴾: مضارع مرفوع بثبوت النون و(الواو) فاعل، والجملة في محل نصب حال ثانية من المجرمين (في الآية السابقة). ﴿الشَّفاعَةَ﴾: مفعول به منصوب.
﴿إِلاّ﴾: أداة استثناء. ﴿مَنِ﴾: موصولة في محل نصب على الاستثناء المنقطع. ﴿اِتَّخَذَ﴾: ماض وفاعله مستتر (هو) والجملة صلة الموصول. ﴿عِنْدَ﴾: ظرف منصوب متعلق بمحذوف مفعول به ثان. ﴿الرَّحْمنِ﴾: مضاف إليه مجرور. ﴿عَهْدًا﴾: مفعول به أول منصوب.",مريم
وَقالُوا اِتَّخَذَ الرَّحْمنُ وَلَدًا,"﴿وَقالُوا﴾ (الواو): استئنافية. (قالوا): ماض و(الواو) فاعله، والجملة استئنافية.
﴿اِتَّخَذَ﴾: فعل ماض. ﴿الرَّحْمنُ﴾: فاعل مرفوع. ﴿وَلَدًا﴾: مفعول به منصوب، والجملة في محل نصب مقول القول.",مريم
لَقَدْ جِئْتُمْ شَيْئًا إِدًّا," ﴿لَقَدْ﴾: (اللام) لقسم مقدّر و(قد) للتحقيق. ﴿جِئْتُمْ﴾: ماض و(التاء) فاعله، والجملة جواب القسم. ﴿شَيْئًا﴾: مفعول به منصوب بتضمين (جئتم) معنى (فعلتم). ﴿إِدًّا﴾:
نعت ل (شيئا) منصوب.",مريم
تَكادُ السَّماواتُ يَتَفَطَّرْنَ مِنْهُ وَتَنْشَقُّ الْأَرْضُ وَتَخِرُّ الْجِبالُ هَدًّا,"﴿تَكادُ﴾: مضارع ناقص مرفوع. ﴿السَّماواتُ﴾: اسم (تكاد) مرفوع.
﴿يَتَفَطَّرْنَ﴾: مضارع مبني على السكون و(النون) فاعل، والجملة في محل نصب خبر (تكاد) وهي ومتعلقاتها في محل نصب نعت ثان ل (شيئا) في الآية السابقة. ﴿مِنْهُ﴾: جار ومجرور متعلق
ب (يتفطرن). ﴿وَتَنْشَقُّ﴾ (الواو): عاطفة. (تنشق): مضارع مرفوع. ﴿الْأَرْضُ﴾: فاعل مرفوع والجملة معطوفة على (يتفطرن) في محل نصب. ﴿وَتَخِرُّ الْجِبالُ﴾ (الواو): عاطفة. (تخرّ الجبال):
مثل (تنشق الأرض) ومعطوفة عليها. ﴿هَدًّا﴾: نائب عن مفعول مطلق منصوب [أو في موضع حال].",مريم
أَنْ دَعَوْا لِلرَّحْمنِ وَلَدً,"﴿أَنْ﴾: مصدرية. ﴿دَعَوْا﴾: ماض و(الواو) فاعله. والمصدر المؤول من (أن والفعل) في محل جر بلام تعليلية محذوفة متعلق ب (يتفطرن-تنشق-تخرّ) (أي لأن دعوا).
﴿لِلرَّحْمنِ﴾: جار ومجرور متعلق ب (دعوا). ﴿وَلَدًا﴾: مفعول به منصوب.",مريم
وَما يَنْبَغِي لِلرَّحْمنِ أَنْ يَتَّخِذَ وَلَدًا,﴿وَما﴾ (الواو): استئنافية. (ما): نافية. ﴿يَنْبَغِي﴾: مضارع مرفوع بالضمة المقدّرة. ﴿لِلرَّحْمنِ﴾: جار ومجرور متعلق ب (ينبغي). ﴿أَنْ﴾: مصدرية ناصبة. ﴿يَتَّخِذَ﴾: مضارع منصوب وفاعله مستتر (هو). ﴿وَلَدًا﴾: مفعول به منصوب، والمصدر المؤول من (أن يتخذ) في محل رفع فاعل ل (ينبغي)، وجملة (ما ينبغي ...) استئنافية.,مريم
إِنْ كُلُّ مَنْ فِي السَّماواتِ وَالْأَرْضِ إِلاّ آتِي الرَّحْمنِ عَبْدًا,"﴿إِنْ﴾: نافية. ﴿كُلُّ﴾: مبتدأ مرفوع. ﴿مَنْ﴾: موصولة في محل جر مضاف إليه. ﴿فِي السَّماواتِ﴾: جار ومجرور متعلق بمحذوف صلة الموصول. ﴿وَالْأَرْضِ﴾: معطوف بالواو على السماوات مجرور. ﴿إِلاّ﴾: للحصر. ﴿آتِي﴾: خبر المبتدأ (كل) مرفوع بالضمة المقدّرة.
﴿الرَّحْمنِ﴾: مضاف إليه مجرور. ﴿عَبْدًا﴾: حال منصوبة من الضمير المستكن في (آتي)، وجملة (كل من ... آتي) استئنافية بيانيّة.",مريم
لَقَدْ أَحْصاهُمْ وَعَدَّهُمْ عَدًّا,"﴿لَقَدْ﴾: (اللام) لقسم مقدر و(قد) للتحقيق. ﴿أَحْصاهُمْ﴾: ماض وفاعله مستتر (هو) و(الهاء) مفعول به، والجملة جواب القسم المقدر وهو استئناف. ﴿وَعَدَّهُمْ﴾ (الواو): عاطفة.
(عدهم): مثل أحصاهم ومعطوفة عليها لا محل لها. ﴿عَدًّا﴾: مفعول مطلق منصوب.",مريم
وَكُلُّهُمْ آتِيهِ يَوْمَ الْقِيامَةِ فَرْدًا,"﴿وَكُلُّهُمْ﴾ (الواو): عاطفة. (كلهم): مبتدأ مرفوع و(الهاء) مضاف إليه.
﴿آتِيهِ﴾: خبر مرفوع بالضمة المقدرة و(الهاء) مضاف إليه، والجملة معطوفة على جواب القسم في الآية السابقة. ﴿يَوْمَ﴾: ظرف منصوب متعلق ب (آتيه). ﴿الْقِيامَةِ﴾: مضاف إليه مجرور.
﴿فَرْدًا﴾: حال منصوبة.",مريم
إِنَّ الَّذِينَ آمَنُوا وَعَمِلُوا الصّالِحاتِ سَيَجْعَلُ لَهُمُ الرَّحْمنُ وُدًّا,﴿إِنَّ﴾: حرف توكيد ونصب. ﴿الَّذِينَ﴾: اسم (إن) ﴿آمَنُوا﴾: ماض و(الواو) فاعله، والجملة صلة الموصول. ﴿وَعَمِلُوا﴾ (الواو): عاطفة. (عملوا): مثل (آمنوا) ومعطوفة عليها لا محل لها. ﴿الصّالِحاتِ﴾: مفعول به منصوب بالكسرة. ﴿سَيَجْعَلُ﴾: (السين) للاستقبال و(يجعل) مضارع مرفوع. ﴿لَهُمُ﴾: جار ومجرور متعلق ب (يجعل) [أو بمحذوف مفعول به ثان له]. ﴿الرَّحْمنُ﴾: فاعل (يجعل) مرفوع. ﴿وُدًّا﴾: مفعول به منصوب، والجملة في محل رفع خبر (إن) وهي ومتعلقاتها استئنافية.,مريم
فَإِنَّما يَسَّرْناهُ بِلِسانِكَ لِتُبَشِّرَ بِهِ الْمُتَّقِينَ وَتُنْذِرَ بِهِ قَوْمًا لُدًّا,"﴿فَإِنَّما﴾: (الفاء) تعليلية و(إنما) كافة ومكفوفة. ﴿يَسَّرْناهُ﴾: فعل ماض و(نا) فاعله و(الهاء) مفعول به، والجملة تعليلية لمقدّر (أي بلغ ما أنزل إليك فإنما ...). ﴿بِلِسانِكَ﴾: جار ومجرور متعلق بحال من ضمير المفعول و(الكاف) مضاف إليه. ﴿لِتُبَشِّرَ﴾: (اللام) للتعليل و(تبشر): مضارع منصوب بأن مضمرة بعد اللام والفاعل مستتر (أنت) والمصدر المؤول من (أن.
تبشر) في محل جر باللام متعلق ب (يسرناه). ﴿بِهِ﴾: جار ومجرور متعلق ب (تبشر). ﴿الْمُتَّقِينَ﴾:
مفعول به منصوب بالياء. ﴿وَتُنْذِرَ بِهِ قَوْمًا﴾ (الواو): عاطفة. (تنذر به قوما) مثل (تبشر به المتقين) ومعطوفة عليها. و(قوما) منصوب بالفتحة ﴿لُدًّا﴾: نعت ل (قوما) منصوب.",مريم
وَكَمْ أَهْلَكْنا قَبْلَهُمْ مِنْ قَرْنٍ هَلْ تُحِسُّ مِنْهُمْ مِنْ أَحَدٍ أَوْ تَسْمَعُ لَهُمْ رِكْزًا,"﴿وَكَمْ أَهْلَكْنا قَبْلَهُمْ مِنْ قَرْنٍ﴾ (الواو): استئنافية. (كم أهلكنا قبلهم من قرن) مر إعرابها في الآية (٧٤) من السورة والجملة استئنافية. ﴿هَلْ﴾: حرف استفهام للإنكار. ﴿تُحِسُّ﴾:
مضارع مرفوع والفاعل مستتر (أنت)، والجملة استئناف بيانيّ. ﴿مِنْهُمْ﴾: جار ومجرور متعلق
بحال من (أحد) ﴿مِنْ﴾: حرف جر صلة. ﴿أَحَدٍ﴾: مجرور لفظا منصوب محلا مفعول به ل (تحس). ﴿أَوْ﴾: عاطفة. ﴿تَسْمَعُ﴾: مثل (تحس) ومعطوفة عليها لا محل لها. ﴿لَهُمْ﴾: جار ومجرور متعلق بحال من (ركزا) ﴿رِكْزًا﴾: مفعول به منصوب للفعل (تسمع).",مريم
طه,طه:  حروف مقطعة، لا محل لها من الإعراب، والله أعلم بمراده منها. وهي ضرب من ضروب الإعجاز في القرآن.,طه
ما أَنْزَلْنا عَلَيْكَ الْقُرْآنَ لِتَشْقى,﴿ما﴾: نافية. ﴿أَنْزَلْنا﴾: ماض و(نا) فاعله، والجملة ابتدائية. ﴿عَلَيْكَ﴾: جار ومجرور متعلق ب (أنزلنا). ﴿الْقُرْآنَ﴾: مفعول به منصوب. ﴿لِتَشْقى﴾: (اللام) للتعليل و(تشقى) فعل مضارع منصوب بالفتحة المقدرة بعد (أن) مضمرة وفاعله مستتر (أنت) والمصدر المؤول من (أن) والفعل في محل جر باللام متعلق ب (أنزلنا).,طه
إِلاّ تَذْكِرَةً لِمَنْ يَخْشى,﴿إِلاّ﴾: للاستثناء المنقطع بمعنى (لكن). ﴿تَذْكِرَةً﴾: مفعول لأجله منصوب لفعل محذوف تقديره أنزلناه [أو مصدر فى موضع الحال]. ﴿لِمَنْ﴾: جار وموصول في محل جر متعلق ب (تذكرة). ﴿يَخْشى﴾: مضارع مرفوع بالضمة المقدرة وفاعله مستتر (هو)، والجملة صلة الموصول.,طه
تَنْزِيلًا مِمَّنْ خَلَقَ الْأَرْضَ وَالسَّماواتِ الْعُلى,﴿تَنْزِيلًا﴾: مفعول مطلق منصوب لفعل محذوف تقديره (نزّلناه)، [أو مفعول به للفعل: يخشى] والجملة على تقدير الفعل في محل نصب حال من (القرآن). ﴿مِمَّنْ﴾: جار وموصول في محل جر متعلق ب (تنزيلا). ﴿خَلَقَ﴾: ماض وفاعله مستتر (هو)، والجملة صلة الموصول. ﴿الْأَرْضَ﴾: مفعول به منصوب. ﴿وَالسَّماواتِ﴾: معطوف بالواو على الأرض منصوب بالكسرة. ﴿الْعُلى﴾: نعت للسماوات منصوب بالفتحة المقدّرة.,طه
الرَّحْمنُ عَلَى الْعَرْشِ اِسْتَوى,"﴿الرَّحْمنُ﴾: خبر مرفوع لمبتدإ محذوف تقديره (هو)، والجملة استئنافية.
﴿عَلَى الْعَرْشِ﴾: جار ومجرور متعلق ب (استوى) ﴿اِسْتَوى﴾: ماض وفاعله مستتر (هو)، والجملة في محل رفع خبر ثان للمبتدإ.",طه
لَهُ ما فِي السَّماواتِ وَما فِي الْأَرْضِ وَما بَيْنَهُما وَما تَحْتَ الثَّرى,"﴿لَهُ﴾: جار ومجرور متعلق بمحذوف خبر مقدّم. ﴿ما﴾: موصولة في محل رفع مبتدأ مؤخر، والجملة في محل رفع خبر ثالث. ﴿فِي السَّماواتِ﴾: جار ومجرور متعلق بمحذوف صلة الموصول. ﴿وَما فِي الْأَرْضِ﴾: (الواو): عاطفة. (ما فى الأرض): مثل (ما في السماوات) ومعطوفة عليها. ﴿وَما﴾ (الواو): عاطفة. (ما): موصولة معطوفة على الأولى في محل رفع.
﴿بَيْنَهُما﴾: ظرف منصوب متعلق بمحذوف صلة الموصول و(الهاء) مضاف إليه. ﴿وَما تَحْتَ الثَّرى﴾ (الواو): عاطفة. (ما تحت الثرى): مثل (ما بينهما) ومعطوفة عليها وعلامة الجر في (الثرى) الكسرة المقدرة.",طه
وَإِنْ تَجْهَرْ بِالْقَوْلِ فَإِنَّهُ يَعْلَمُ السِّرَّ وَأَخْفي,"﴿وَإِنْ﴾ (الواو): استئنافية. (إن): شرطية جازمة. ﴿تَجْهَرْ﴾: مضارع مجزوم فعل الشرط وفاعله مستتر (أنت)، والجملة استئنافية. ﴿بِالْقَوْلِ﴾: جار ومجرور متعلق ب (تجهر).
﴿فَإِنَّهُ﴾: (الفاء) رابطة لجواب الشرط و(إنّ) حرف توكيد ونصب و(الهاء) اسم (إن). ﴿يَعْلَمُ﴾:
مضارع مرفوع وفاعله مستتر (هو)، والجملة في محل رفع خبر (إن) وجملة (إنّ) ومتعلقاتها في محل جزم جواب الشرط. ﴿السِّرَّ﴾: مفعول به منصوب. ﴿وَأَخْفى﴾ (الواو): عاطفة. (أخفى):
معطوف على (السر) منصوب بفتحة مقدرة",طه
اللهُ لا إِلهَ إِلاّ هُوَ لَهُ الْأَسْماءُ الْحُسْنى,"﴿اللهُ﴾: لفظ الجلالة مبتدأ مرفوع. ﴿لا﴾: نافية للجنس. ﴿إِلهَ﴾: اسم لا مبني على الفتح في محل نصب. ﴿إِلاّ﴾: للاستثناء. ﴿هُوَ﴾: بدل من الضمير المستتر في خبر (لا) المحذوف (أي لا إله موجود [أو معبود بحق] إلا هو)، وجملة (لا ومتعلقاتها) في محل رفع خبر المبتدأ وهو وخبره استئناف. ﴿لَهُ﴾: جار ومجرور متعلق بخبر مقدّم. ﴿الْأَسْماءُ﴾: مبتدأ مؤخر مرفوع. ﴿الْحُسْنى﴾: نعت للأسماء مرفوع بالضمة المقدرة، وجملة (له الأسماء) في محل رفع خبر
ثان للمبتدإ لفظ الجلالة.",طه
وَهَلْ أَتاكَ حَدِيثُ مُوسى,﴿وَهَلْ﴾ (الواو): استئنافية. (هل): حرف استفهام. ﴿أَتاكَ﴾: ماض و(الكاف) مفعول به. ﴿حَدِيثُ﴾: فاعل مرفوع. ﴿مُوسى﴾: مضاف إليه مجرور بالفتحة المقدرة، والجملة استئنافية.,طه
إِذْ رَأى نارًا فَقالَ لِأَهْلِهِ اُمْكُثُوا إِنِّي آنَسْتُ نارًا لَعَلِّي آتِيكُمْ مِنْها بِقَبَسٍ أَوْ أَجِدُ عَلَى النّارِ هُدىً ,"﴿إِذْ﴾: ظرف مبني في محل نصب متعلق ب (حديث) في الآية السابقة [أو مفعول به محذوف، أي: اذكر ...] ﴿رَأى﴾: ماض وفاعله مستتر (هو) (أي موسى ﵇. ﴿نارًا﴾:
مفعول به منصوب، والجملة في محل جر مضاف إليه. ﴿فَقالَ﴾: (الفاء) عاطفة و(قال) ماض وفاعله مستتر (هو)، والجملة معطوفة على سابقتها. ﴿لِأَهْلِهِ﴾: جار ومجرور متعلق ب (قال) و(الهاء) مضاف إليه. ﴿اُمْكُثُوا﴾: أمر مبني على حذف النون و(الواو) فاعل، والجملة في محل نصب مقول القول. ﴿إِنِّي﴾: حرف توكيد ونصب و(الياء) اسمه. ﴿آنَسْتُ﴾: ماض و(التاء) فاعله، والجملة في محل رفع خبر (إن) وهي ومتعلقاتها تعليلية لا محل لها. ﴿نارًا﴾: مفعول به منصوب. ﴿لَعَلِّي﴾: حرف ترج ناسخ و(الياء) اسمه. ﴿آتِيكُمْ﴾: خبر (لعلّ) مرفوع بالضمة المقدّرة و(الكاف) مضاف إليه [وقد تكون (آتيكم) فعلا مضارعا مرفوعا بضمة مقدرة وفاعله مستتر (أنا) و(الكاف) مفعول به، والجملة خبر لعلّ]، وجملة لعلّ ومتعلقاتها استئنافية ضمن القول.
﴿مِنْها﴾: جار ومجرور متعلق ب (آتيكم). ﴿بِقَبَسٍ﴾: جار ومجرور متعلق ب (آتيكم). ﴿أَوْ﴾:
عاطفة. ﴿أَجِدُ﴾: مضارع مرفوع وفاعله مستتر (أنا)، والجملة في محل رفع معطوفة على خبر (لعلّ). ﴿عَلَى النّارِ﴾: جار ومجرور متعلق ب (أجد). ﴿هُدىً﴾: مفعول به منصوب.",طه
